source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,distance_pc,distance_ly,x_ly,y_ly,z_ly,absolute_g_mag,rough_star_type,catalog_label,star_name
3005440443830195968,90.72650698393748,-9.253679424751372,65.35865016417648,0.034762137,1880.1678,115.8722946567721,-593.7752156368177,21.044725,14.589308,17.064617,13.190653,3.8739643,15.300193585517269,49.902499390779695,-0.6245091880123886,49.24911093472721,-8.024618736101322,13.665823371209374,Red Dwarf,Gaia DR3 3005440443830195968,
5931193640795532288,248.90361401821815,-52.03316495042088,65.33476543567257,0.029268317,2232.2693,-192.24751161710105,88.9968692661939,,13.71855,15.797667,12.383474,3.4141922,15.305786947143508,49.920742475325376,-11.054235540119784,-28.653102093943957,-39.355865462537245,12.794271681193784,Red Dwarf,Gaia DR3 5931193640795532288,
2905516483501493120,82.7698222187872,-30.19782913482597,65.33025010048162,0.017603945,3711.1143,347.6636630570967,-467.04921484005143,-30.098896,11.837224,13.323917,10.644911,2.6790066,15.306844814797792,49.92419277415189,5.43057219578492,42.806074813486624,-25.11122993481668,10.912795603902621,Red Dwarf,Gaia DR3 2905516483501493120,
5605469299570245504,112.21252172768985,-30.26551635856207,65.31813251534753,0.024437875,2672.824,-134.37249975465164,-189.5204011286903,,12.162064,14.038111,10.861111,3.177,15.309684485621723,49.93345453092439,-16.30404608242103,39.92690015683933,-25.16685531805609,11.237232797509808,Red Dwarf,Gaia DR3 5605469299570245504,
2926756741750933120,99.9050962494302,-21.025532807947208,65.30804349927207,0.32470244,201.13197,-139.51063221573668,45.23692133548747,,12.022031,13.024365,10.212264,2.8121014,15.31204957948474,49.941168426464245,-8.018751627662686,45.92125862971779,-17.918089518609264,11.096864366729257,Red Dwarf,Gaia DR3 2926756741750933120,
1635375460142367104,254.0095535449022,65.13502280368243,65.29044855555695,0.546998,119.3614,237.18542448644493,49.07700315474167,-20.669493,4.7508183,4.998218,4.3218627,0.67635536,15.31617598168406,49.954626934821455,-5.786392029454742,-20.19225364993299,45.323893389860274,3.825066561427434,Yellow Dwarf,Gaia DR3 1635375460142367104,
5588141992752796800,113.0312367991138,-36.124874823995825,65.26738892078832,0.014815943,4405.2134,-244.91381196488803,-467.84903972194337,19.192259,11.837175,13.259977,10.667751,2.592226,15.32158734300906,49.97227641446462,-15.791845599843011,37.146936724307466,-29.46101007424344,10.910656193556793,Red Dwarf,Gaia DR3 5588141992752796800,
5454500168322239872,161.3193890203323,-30.80852266657077,65.26558295813005,0.021197375,3078.9465,-31.35064074552584,-232.27014537105111,22.785488,10.2900915,11.459105,9.21323,2.2458744,15.322011306350111,49.97365919633927,-40.66039953983064,13.747451699029895,-25.59504042809944,9.363512607617912,Red Dwarf,Gaia DR3 5454500168322239872,
5170039467784804096,51.24784690007301,-5.367170566006298,65.26068409308351,0.027728027,2353.6,-230.8831863961088,-768.4793029002251,-13.359324,7.4652786,8.087434,6.713721,1.373713,15.323161469984996,49.97741052404426,31.146343484510712,38.80455234037678,-4.674779983773184,6.538536709770323,Orange Dwarf,Gaia DR3 5170039467784804096,
5655050092795276800,136.7599966689761,-22.149052356271294,65.2184302642222,0.04678833,1393.9037,-302.418538621794,-409.38823816263016,-5.064882,12.614358,14.4586315,11.329654,3.1289778,15.33308906621422,50.00978997480165,-33.74322664199158,31.73136262426149,-18.854558470528616,11.686209708029658,Red Dwarf,Gaia DR3 5655050092795276800,
429297859741477888,1.9308182403086505,60.38161993916557,65.21307301880952,0.12851872,507.42084,363.3218340251738,-62.22814734321896,6.6681533,12.988087,,,,15.334348677474043,50.01389827250224,24.70387335735662,0.8328144576163337,43.4789038688313,12.059760329182243,unknown,Gaia DR3 429297859741477888,
5809399363316630912,248.45465269374097,-68.14841433645245,65.1963451974889,0.06744817,966.614,-230.8746269540722,-347.33929577558786,,15.944595,19.094633,14.400121,4.6945124,15.338283104227076,50.02673064142286,-6.8380104012251275,-17.319090526221874,-46.432364744504945,15.015711252812068,Red Dwarf,Gaia DR3 5809399363316630912,
117709729140217216,52.20764798129931,26.48616945277209,65.13193983564408,0.032710668,1991.153,225.8988634084229,-133.00423730946244,0.12222812,12.137731,13.69319,10.9281845,2.765005,15.353450281435352,50.07619929991829,27.465952764319507,35.41865416813775,22.333072157479013,11.206701065165694,Red Dwarf,Gaia DR3 117709729140217216,
2797745549200763520,4.064320711857081,19.8570414552915,65.10811689055409,0.041267276,1577.7178,714.6345511276562,-761.9696674473287,6.9795403,10.908869,12.514786,9.672952,2.841834,15.359068081802876,50.094522092884986,46.99756394030575,3.3394118335553644,17.01582957123527,9.977044672567077,Red Dwarf,Gaia DR3 2797745549200763520,
6087242378235260800,202.752021678838,-45.58499509513008,65.10462485639641,0.030662837,2123.2422,-619.37508593334,222.6433207627745,70.3764,12.241854,13.726307,11.052488,2.6738186,15.35989190024112,50.09720902615042,-32.332397700930365,-13.559441055714812,-35.78390656950797,11.309913203844793,Red Dwarf,Gaia DR3 6087242378235260800,
2349206308999273984,12.894709137689183,-22.91129544069207,65.0902364085195,0.024736652,2631.3276,613.2598551920532,-276.4516012376809,14.519927,8.415547,9.172876,7.568672,1.6042042,15.363287263604292,50.10828320748121,44.99122418061397,10.29999344646152,-19.507432627942855,7.48312624453758,Orange Dwarf,Gaia DR3 2349206308999273984,
2620145937091715072,331.54090391057207,-7.394198350555103,65.08524874825858,0.03694031,1761.9032,175.5267937066517,-219.37775587294672,,14.192143,16.501104,12.816519,3.6845856,15.364464594241197,50.11212314199331,43.69008602752701,-23.68141112380178,-6.449188777750889,13.259555845055575,Red Dwarf,Gaia DR3 2620145937091715072,
2349206343359507584,12.899607379310654,-22.90983482076865,65.07326348704328,0.05009623,1298.9653,619.8951493518819,-280.89089590531876,,14.365647,16.68771,12.988802,3.6989079,15.367294437278526,50.12135284485014,45.002563058301554,10.306638300841312,-19.511343780406076,13.432659937839727,Red Dwarf,Gaia DR3 2349206343359507584,
2797745549200773120,4.070650621944494,19.860692297743864,65.04914175185596,0.039420694,1650.1268,708.1365425921044,-748.87827438726,-1.4497403,11.886798,13.513712,10.641011,2.8727007,15.372992987589546,50.13993900860255,47.03872094969343,3.347559256254848,17.034261423059114,10.953005854611629,Red Dwarf,Gaia DR3 2797745549200773120,
