source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_pc,distance_ly,x_ly,y_ly,z_ly
579529081235551488,139.99019454851432,4.999668777180417,23.313123204916764,0.014742598,1581.3442,-72.69037725507677,-37.117593051717535,-6.038968,9.170425,9.647135,8.530968,1.1161671,0.9136816,42.8942956810308,139.9023190214228,-106.74829558752818,89.60359127955189,12.192484838484933
3606353475741254272,203.3389143721855,-15.00746155061869,23.313122904035584,0.06806943,342.49036,-161.5183853424179,-4.617928813022027,,16.840637,17.027138,16.526903,0.5002346,1.0318338,42.894296234628285,139.90232082701422,-124.07383180961604,-53.534561892073626,-36.22698325678899
6645256864471157248,294.5326866157785,-52.817387317480296,23.312841905396272,0.020923838,1114.1761,76.24938978764304,-256.11848071128543,-28.3149,12.906007,14.093659,11.824038,2.2696218,1.3000824,42.89481325605901,139.90400712343182,35.10703746364884,-76.91904556709993,-111.46339111459703
5969940116940360192,252.390115178831,-39.62624321787504,23.312557188375738,0.17864622,130.49567,-90.42934729902582,-109.59349631520458,,18.320665,,,,0.9781236,42.89533713181095,139.90571577562932,-32.600600150126795,-102.70862946032469,-89.22862551291738
563844513505455872,15.698409125034432,78.3241172636908,23.31239930180715,0.16881865,138.09137,-142.4599531757783,26.781642775993863,,13.102603,,,,2.849655,42.89562764663529,139.9066633071598,27.257505450491486,7.6609226184750545,137.01172613682792
6851154985305666048,299.69989948918146,-25.359449871275807,23.312275029427994,0.020583646,1132.563,138.7863340365357,-258.432809865452,-46.22137,13.253441,14.620683,12.101379,2.5193033,1.1561322,42.89585631336543,139.90740911742014,62.63853647524662,-109.81749245506609,-59.92174250695551
1692427537957816064,186.903157779551,75.39728791510589,23.311801008115772,0.01588564,1467.4763,-223.02327736544103,125.90833382230525,13.622207,14.399636,15.982505,13.187045,2.7954597,1.1110085,42.89672855614459,139.91025398957893,-35.01778918995007,-4.239576349276965,135.3907663175571
6173255832841327616,212.11936376273263,-29.193338721899583,23.311501539021982,0.020903198,1115.2122,141.41828896977438,-101.28191722896926,42.817074,13.848474,15.228988,12.6990385,2.5299492,1.1696075,42.89727962508391,139.91205133398867,-103.4457447529664,-64.94012151315671,-68.24324595771546
4057704746997345408,266.79912971052255,-27.751980559387558,23.311251153105296,0.15452664,150.85588,52.80054878604572,-304.4511559911316,,17.672274,20.530287,16.177294,4.352993,0.86781,42.89774038433754,139.91355412793993,-6.9136694168176875,-123.62634490899,-65.15006253527605
6276940019858127872,212.97400443154243,-22.626342381111485,23.311173199676777,0.023890918,975.7337,-23.648757248819663,-2.028149484593063,68.64931,13.938566,15.38772,12.760698,2.6270218,1.2884194,42.8978838359738,139.9140220040587,-108.34228079714329,-70.28843412549499,-53.82768593587442
