simbad_ident,display_name,simbad_main_id,gaia_dr3_source_id,hip,name_type,fame_tier
eps Vir,Vindemiatrix (Epsilon Virginis),* eps Vir,3736865265441207424,63608,iau,1
HIP 10064,Alaybasan,* bet Tri,,10064,iau,1
HIP 71075,Seginus,* gam Boo,1487434040320076800,71075,iau,1
HIP 88635,Alnasl,* gam02 Sgr,4049975081571729920,88635,iau,1
HIP 84379,Sarin,* del Her,4573412435280434560,84379,iau,1
HIP 89642,Heryibwia,* eta Sgr,4038055447778237312,89642,iau,1
HIP 64962,Naga,* gam Hya,6194563955869054848,64962,iau,1
Gaia DR3 1014058103758571520,Talitha,* iot UMa A,1014058103758571520,44127,iau,1
HIP 94376,Altais,* del Dra,2255173119658513408,94376,iau,1
HIP 71908,Xami,* alf Cir,5849837854861497856,71908,iau,1
HIP 113136,Skat,* del Aqr,2404579570000684544,113136,iau,1
HIP 27628,Wazn,* bet Col,2887731882922767744,27628,iau,1
HIP 22449,Tabit,* pi.03 Ori,3288921720025503360,22449,iau,1
HIP 87261,Fuyue,* G Sco,4039970797062166400,87261,iau,1
HIP 104732,Tianjinnan,* zet Cyg,1851924859353116928,104732,iau,1
