simbad_ident,display_name,simbad_main_id,gaia_dr3_source_id,hip,name_type,fame_tier
HIP 48319,υ UMa,* ups UMa,1049765396704695936,48319,bayer,2
HIP 9007,χ Eri,* chi Eri,4937200425857908992,9007,bayer,2
HIP 87933,ξ Her,* ksi Her,4584613194593381888,87933,bayer,2
HIP 50191,q Vel,* q Vel,5416916936743969152,50191,bayer,2
HIP 45336,θ Hya,* tet Hya,3845263368043470080,45336,bayer,2
HIP 61622,τ Cen,* tau Cen,6127688772460862976,61622,bayer,2
HIP 107089,ν Oct,* nu. Oct,,107089,bayer,2
HIP 41307,C Hya,* 30 Mon,3066513435671608064,41307,bayer,2
HIP 4436,μ And,* mu. And,364785939116867072,4436,bayer,2
HIP 27321,β Pic,* bet Pic,4792774797545800832,27321,bayer,2
HIP 51986,p Vel,* p Vel,5364580148905328256,51986,bayer,2
HIP 18907,ν Tau,* nu. Tau,3297007356736766080,18907,bayer,2
HIP 27654,δ Lep,* del Lep,2965792913525710976,27654,bayer,2
HIP 34481,γ² Vol,* gam02 Vol,5267405895350690304,34481,bayer,2
HIP 41312,β Vol,* bet Vol,5273030069128572928,41312,bayer,2
HIP 53253,u Car,* u Car,5338833263117260672,53253,bayer,2
HIP 36046,ι Gem,* iot Gem,873035017257455104,36046,bayer,2
HIP 94779,κ Cyg,* kap Cyg,2139664063041544576,94779,bayer,2
HIP 98495,ε Pav,* eps Pav,6368016725517046144,98495,bayer,2
HIP 71957,μ Vir,* mu. Vir,6337717036911729024,71957,bayer,2
70 Oph A,70 Ophiuchi A,* 70 Oph A,4468557611984384512,,flamsteed,2
HIP 2072,κ Phe,* kap Phe,4992538055808271360,2072,bayer,2
HIP 97433,Tyl (ε Dra),* eps Dra,,97433,bayer,2
HIP 17440,β Ret,* bet Ret,4672726716408826240,17440,bayer,2
HIP 90139,Tusizuo,* 109 Her,4529285391533766400,90139,iau,2
HIP 19747,α Hor,* alf Hor,4840356816072211712,19747,bayer,2
HIP 10670,Apdu,* gam Tri,326109689896765568,10670,iau,2
HIP 21594,Sceptrum,* l Eri,3174163561130003840,21594,iau,2
HIP 55642,ι Leo,* iot Leo,,55642,bayer,2
HIP 765,ε Phe,* eps Phe,4990516294443333504,765,bayer,2
HIP 48455,Rasalas,* mu. Leo,643819484617141504,48455,iau,2
HIP 44382,α Vol,* alf Vol,5248192926092026496,44382,bayer,2
HIP 13701,Azha,* eta Eri,5173421634271199104,13701,iau,2
