hip,ra,dec,plx,e_plx,pm_ra,pm_de,hp_mag,b_v,gaia_source_id,gaia_match_sep_arcsec,gaia_in_v2,distance_ly,gaia_match_note
67301,206.8856091,49.31330297,31.38,0.24,-121.17,-14.91,1.7994,-0.099,,917.193,False,103.93753983428935,no Gaia match
70472,216.20886419,-17.45244342,31.38,2.25,-436.41,80.52,10.7997,1.257,6284731365410978048,0.051,True,103.93753983428935,position+magnitude match
4061,12.99979829,20.58313197,31.37,3.08,177.31,-109.24,11.6184,1.44,2789773986820056064,0.0,True,103.97067261715011,position+magnitude match
85017,260.64401755,-19.6158445,31.37,0.89,2.66,-138.5,7.9807,0.783,4122133830616441728,0.0,True,103.97067261715011,position+magnitude match
89766,274.77324594,-35.15683263,31.35,1.25,-59.05,-21.44,8.6578,1.013,4038318261054205824,0.145,True,104.03700159489632,position+magnitude match
59639,183.4675018,-69.06072941,31.34,0.7,-212.49,113.65,8.7757,0.892,5856250378426143616,0.003,True,104.07019783024889,position+magnitude match
46385,141.87820112,50.65381454,31.34,3.08,-225.17,-145.86,12.0305,0.0,1018344687277429760,0.011,True,104.07019783024889,position+magnitude match
96185,293.36418521,33.20132024,31.33,0.39,-463.57,224.4,6.7521,0.595,2045599984313800448,0.003,True,104.10341525694224,position+magnitude match
88511,271.10994862,6.43622084,31.33,0.9,-63.59,71.11,8.0998,0.762,4474963057485435520,0.0,True,104.10341525694224,position+magnitude match
34317,106.71734445,23.96946093,31.32,1.64,-83.83,-206.28,10.2492,1.22,3368634595051958656,0.0,True,104.13665389527458,position+magnitude match
46977,143.62069997,69.83015424,31.32,0.19,-63.84,77.25,4.6937,0.781,1071133340038904320,0.004,True,104.13665389527458,position+magnitude match
96576,294.49705085,33.89314824,31.29,0.47,-98.11,51.84,7.6094,0.719,2047188847334279424,0.0,True,104.23649728347714,position+magnitude match
79941,244.77481715,51.75722039,31.28,1.02,-187.03,225.18,9.9537,1.143,1424721741065764608,0.004,True,104.269820971867,position+magnitude match
82369,252.45822121,-10.78280222,31.27,2.16,72.33,-78.8,4.7415,0.478,,150.806,False,104.3031659737768,no Gaia match
96370,293.89884616,-20.78168323,31.27,0.55,100.54,-167.19,6.8549,0.557,6772287703441286912,0.0,True,104.3031659737768,position+magnitude match
118268,359.82750958,6.86359368,31.26,0.15,150.35,-112.12,4.1219,0.419,2745491430891511168,0.005,True,104.3365323096609,position+magnitude match
36165,111.74537117,-34.31242049,31.25,2.0,-290.49,102.03,7.138,0.487,,1447.783,False,104.36992,no Gaia match
46493,142.23769846,38.06597164,31.25,2.34,85.53,4.39,10.5468,1.294,811272081870655744,0.004,True,104.36992,position+magnitude match
44821,137.00897848,-49.44978335,31.24,0.91,-31.85,123.85,9.0676,0.985,5325892492246989056,0.098,True,104.4033290653009,position+magnitude match
10810,34.78638668,19.68801198,31.24,0.63,-20.01,-125.35,6.9447,0.566,87044422856456192,0.0,True,104.4033290653009,position+magnitude match
10335,33.29601206,46.28085415,31.24,2.0,-198.3,3.14,10.3976,1.192,353135513909339776,0.003,True,104.4033290653009,position+magnitude match
66678,205.03519317,-66.33946417,31.24,1.54,-16.17,65.8,10.4873,1.337,5851635521992127104,0.0,True,104.4033290653009,position+magnitude match
66008,202.99308545,31.13456107,31.24,2.62,-131.97,15.9,10.4953,1.486,,751.336,False,104.4033290653009,no Gaia match
36238,111.93497669,21.44554872,31.23,1.84,-55.63,-120.43,5.3365,0.455,865209037088705024,0.092,True,104.4367595260967,position+magnitude match
108947,331.08229513,20.26588,31.23,0.96,176.78,-86.73,8.5083,0.816,1781461179211748352,0.003,True,104.4367595260967,position+magnitude match
112559,341.95958935,-4.22827447,31.22,0.92,-212.41,-317.43,6.8071,0.654,2624387200116495872,0.033,True,104.47021140294684,position+magnitude match
30552,96.33465717,11.23338346,31.21,0.56,-123.36,-56.16,7.1411,0.593,3330686669209149824,0.0,True,104.50368471643702,position+magnitude match
14592,47.10679315,57.01318088,31.21,0.52,130.1,-107.85,6.7727,0.637,460050169170768128,0.0,True,104.50368471643702,position+magnitude match
38702,118.84952896,-15.49836998,31.2,2.66,55.93,106.0,11.2818,1.617,5719262293418946432,0.0,True,104.53717948717949,position+magnitude match
115112,349.72577418,5.40573419,31.2,1.6,441.71,-98.16,8.1464,0.82,2661015540211140864,0.62,True,104.53717948717949,position+magnitude match
46677,142.74566717,-47.38321818,31.2,0.79,373.19,-395.68,8.6534,0.927,5410453732524556672,0.0,True,104.53717948717949,position+magnitude match
32530,101.8159987,-18.25888027,31.17,2.09,-100.1,65.93,10.6562,1.306,2945575123779578624,0.0,True,104.63779274943856,position+magnitude match
28921,91.56927356,-27.90591222,31.15,0.98,-16.35,34.05,9.0906,0.868,2909947996398369920,0.0,True,104.70497592295344,position+magnitude match
112,0.35691666,-16.94782658,31.13,2.21,295.82,-254.35,10.8532,1.384,2414870586520243584,0.0,True,104.7722454224221,position+magnitude match
52535,161.11356153,-72.44362732,31.13,0.31,-151.94,53.38,6.3774,0.51,5229569879178155264,0.0,True,104.7722454224221,position+magnitude match
30023,94.77008173,47.39411427,31.13,0.53,-30.52,-33.28,6.9478,0.561,968931157257437312,0.0,True,104.7722454224221,position+magnitude match
55605,170.87383897,7.02521373,31.12,2.35,200.32,-70.64,10.467,1.24,3817534337625985280,0.666,True,104.80591259640104,position+magnitude match
75676,231.91830696,42.88198382,31.12,0.59,-72.93,-248.64,7.6185,0.676,1391009653702531072,0.291,True,104.80591259640104,position+magnitude match
50657,155.18247298,-1.46941275,31.11,1.13,-664.55,-170.87,9.5455,1.073,3830475211527368960,0.0,True,104.83960141433622,position+magnitude match
