source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,distance_pc,distance_ly,x_ly,y_ly,z_ly
5853498713190525696,217.39232147200883,-62.67607511676666,768.0665391873573,0.049872905,15400.477,-3781.741008265163,769.4650146478623,-21.942726,8.984749,11.373116,7.5685353,3.8045802,1.3019705311704333,4.246455005644238,-1.5486397354689245,-1.1836956557523677,-3.772659496859042
4472832130942575872,269.44850252543836,4.739420051112412,546.975939730948,0.040116355,13634.737,-801.5509783684709,10362.394206546573,-110.46822,8.1939745,9.791788,6.9580913,2.8336968,1.828233981355542,5.962894824229981,-0.057198395215005644,-5.942231071655674,0.4926793272133314
3864972938605115520,164.10319030755974,7.002726940984864,415.17941567802137,0.06837086,6072.462,-3866.3382751436793,-2699.214987679166,NULL,11.038391,13.770287,9.58545,4.1848364,2.408597252748958,7.855784455675892,-7.498991972191856,2.135692626952343,0.9577503945300506
762815470562110464,165.83095967577933,35.948653032660104,392.75294543876464,0.03206665,12248.019,-580.0570872139048,-4776.588719443488,-85.11064,6.551172,7.6911216,5.475513,2.2156086,2.5461298549469777,8.304355289700863,-6.518215544107757,1.645614987084903,4.87515478855967
2947050466531873024,101.28662552099249,-16.720932526023173,374.48958852876103,0.2313347,1618.8214,-461.570505530133,-914.5196209016666,NULL,8.524133,8.120362,8.398789,-0.27842712,2.6703012063129745,8.709347602462145,-1.6324958852797107,8.179780480073847,-2.5057701696007144
5140693571158946048,24.771674208211856,-17.947682860008488,373.8443122683992,0.50087124,746.38806,3178.6942575748953,584.0613350385156,10.249533,10.817838,13.252207,9.423653,3.8285542,2.674910296032687,8.72438042512837,7.5361254063781775,3.4776586889328076,-2.6884043046005135
5140693571158739840,24.771554293454546,-17.948299887129313,367.71189618147696,0.74180114,495.70142,3385.315810465071,544.3863845619521,21.458223,10.507542,12.820644,9.067688,3.7529564,2.7195203918735054,8.869878929318949,7.6617877806849854,3.5356280360005967,-2.733330315854467
4075141768785646848,282.4587890175222,-23.83709744872712,336.0266016683708,0.031666122,10611.549,639.367850335873,-193.95792507116096,-11.11644,9.126414,10.732183,7.898147,2.8340364,2.9759548649868903,9.706255349446641,1.9153795793149042,-8.66922310434714,-3.922662965748997
1926461164913660160,355.4800152581559,44.170375700747755,316.48118678226916,0.044448785,7120.1313,112.52746493350043,-1591.6497618145506,-77.289825,10.379277,12.546428,9.017014,3.5294142,3.159745481768476,10.305699473516789,7.368989365383291,-0.5825383322026806,7.180953033046987
5164707970261890560,53.22829341517546,-9.458168216292322,310.5772928005821,0.13549915,2292.0977,-974.758145249517,20.875840089774208,NULL,3.465752,3.9824479,2.8421502,1.1402977,3.219810408490127,10.501604835915058,6.201095449330465,8.29771482666421,-1.725702179799427
6553614253923452800,346.5039166796005,-35.8471642082214,304.1353692001036,0.01999573,15210.015,6765.995136250774,1330.2852747179845,8.306988,6.5220323,7.5897913,5.491506,2.0982852,3.2880095551861235,10.724040444812852,8.452672719705696,-2.028696067571643,-6.28026748004767
3796072592206250624,176.93768799004127,0.7991199702364985,296.3053079139394,0.030185517,9816.142,607.2990766811824,-1223.0283548879977,NULL,9.601,11.361026,8.327767,3.0332584,3.374897355164646,11.007430217710802,-10.990642824060032,0.5879815713808002,0.15351867452256956
1872046574983497216,316.753662752556,38.75607277205679,286.0053518616485,0.028940246,9882.616,4105.976428209489,3155.9416398273515,-64.593544,5.4506445,6.272253,4.5569124,1.7153406,3.4964380683468383,11.403842546197314,6.477736645779719,-6.0928656553925675,7.138875322606514
1872046609345556480,316.7484792940004,38.76386244649797,285.99494829578117,0.05989728,4774.757,4164.2086922846665,3249.613883848584,-65.97495,4.766713,5.4397926,3.977203,1.4625897,3.4965652573897277,11.404257380892039,6.476714023984874,-6.093008204270799,7.140344031196043
2154880616774131840,280.6830708352289,59.638357907754816,283.8401180184389,0.021992655,12906.132,-1311.6790825522846,1792.3245558304384,-1.303306,7.854393,9.16699,6.7059326,2.4610577,3.5231101472943926,11.490835132009499,1.076686559616822,-5.707445631255099,9.914892962086446
2154880616774131712,280.68308624583415,59.635145454818776,283.8377678450057,0.028684631,9895.117,-1400.263516756894,1862.5251477485458,0.87630755,8.524704,9.959693,7.334221,2.625472,3.523139318605643,11.490930275991419,1.0768000609729484,-5.708038866609035,9.914649390354937
385334230892516480,4.613226257557736,44.02478674398518,280.706821579123,0.020284552,13838.454,2891.5180773367792,411.8320203661465,11.367275,7.218567,8.332124,6.16774,2.164384,3.5624356913539748,11.619097753492468,8.327520914606227,0.6719512436931728,8.074918547459708
385334196532776576,4.625300681217554,44.02874451664357,280.6947310460246,0.027839076,10082.761,2862.7964264973784,336.43190371856457,10.603611,9.686646,11.291516,8.455489,2.8360271,3.5625891382907127,11.619598229883456,8.327181802229306,0.6736901937823209,8.075843471695906
703790044252850688,127.45009240230564,26.77328596508202,279.2496391012477,0.06372576,4382.0522,-1113.693546784546,-612.1910728285187,NULL,12.167455,15.10305,10.705456,4.3975945,3.5810252189347667,11.679728613068876,-6.3407209586527316,8.278308881581257,5.261266032104315
6412595290592307840,330.8724078795965,-56.79725466122902,274.8431415216296,0.09561499,2874.4775,3966.6605387484133,-2536.1919868044724,-40.4267,4.322904,4.9079766,3.610557,1.2974195,3.638438981826665,11.866987045566578,5.676600069495063,-3.1631366141867985,-9.92955990719853
2452378776434477184,26.009055057160104,-15.933680200693857,273.80974511859966,0.17013045,1609.4106,-1721.7277944720731,854.9631570589582,NULL,3.3003998,3.7995205,2.7482994,1.0512211,3.6521709611425766,11.911774720024182,10.294106173232564,5.022785101149086,-3.270074143272156
4848140361962951552,54.00339387736301,-44.51436231604776,272.16154083178225,0.031645775,8600.249,745.6543400042402,-373.3232809136534,1.4918072,10.995456,13.281103,9.615727,3.6653757,3.6742884279086314,11.983912164929675,5.022465230329134,6.913691508423774,-8.401777402028298
6412596012146801152,331.07645259656397,-56.79381206688221,270.6580324694526,0.6895573,392.50983,3981.97666296105,-2466.8318147663504,NULL,18.030664,21.142073,16.060108,5.0819645,3.6946991407427134,12.050482929480804,5.776308332721735,-3.191791589326293,-10.082701390467918
2358524597030794112,18.13325425370941,-16.996154872479234,269.05730465038937,0.03366602,7991.9546,1205.074450317742,637.5466339679103,NULL,10.436525,12.331689,9.13462,3.1970692,3.71668036033956,12.122175996069094,11.016982297394629,3.607983528304219,-3.543403279059908
3139847906307949696,111.85462844259372,5.209382701706996,264.12689775460655,0.04127979,6398.4556,571.2323467293181,-3691.4865653792745,17.353445,8.576388,10.111705,7.3539467,2.7577581,3.7860589303898693,12.348458365002381,-4.577763105650201,11.413651905675213,1.1211864772738218
35227046884571776,43.26964247679057,16.86437381897744,260.98844068047276,0.09342672,2793.5095,3429.0828268077694,-3805.54112273733,NULL,12.263103,15.31863,10.790128,4.5285025,3.831587320084787,12.496951939695737,8.708150096767316,8.197438667945736,3.6254556900484247
4810594479418041856,77.9599373502188,-45.0438126993602,254.19859326384577,0.016842743,15092.47,6491.223339061598,-5708.614150045243,245.05313,8.063552,9.086244,7.059598,2.0266457,3.9339320771222708,12.830755505458912,1.8910804107364314,8.866344854174104,-9.079649257975415
6583272171336048640,319.2950181380955,-38.872456400701786,251.9124222107058,0.03516071,7164.5996,-3258.966218702396,-1145.8623969124255,20.70994,5.984104,6.8927255,5.0391383,1.8535872,3.9696335386096013,12.94719796418753,7.6414039148040676,-6.573800328906798,-8.125517249402877
6439125097427143808,281.29804386226,-63.96056736658412,249.6651458904217,0.1330301,1876.7568,2583.1897859953274,588.5041381022022,NULL,14.005345,17.564142,12.451222,5.11292,4.005364851523573,13.063737785135222,1.1235288211212862,-5.623711704851107,-11.737665635363797
5393446658454453632,162.05388771666577,-39.93962594730691,247.21558692230735,0.051197793,4828.6377,-1179.311133843346,-988.1214959595233,NULL,14.005882,17.617006,12.46335,5.153656,4.045052387065994,13.193181063558962,-9.623341642839131,3.116809838760714,-8.469759065643688
4330690742322011520,247.57481416249274,-12.66785108081103,232.13898083974135,0.026823945,8654.17,-94.20959499441267,-1183.917157588457,-21.797655,8.801877,10.3223,7.590719,2.7315807,4.307764238399739,14.050031529395051,-5.229291689478562,-12.671400023038991,-3.081154955446563
2552928187080872832,12.296740250462333,5.376556608426358,231.7799995322092,0.018272836,12684.403,1231.3994653791733,-2711.8825044849837,NULL,12.299163,12.53123,11.933642,0.5975876,4.314436111908938,14.071792245157715,13.6884627942959,2.9837517548602626,1.3185403996184557
3902874650602495232,188.3144928018531,9.022091624851694,231.11849780261377,0.5118605,451.52634,-1795.6609024600048,217.78856656191624,NULL,11.235116,12.916022,9.381813,3.5342093,4.326784785759761,14.112068185842606,-13.790979586942518,-2.015449103762309,2.212987895255983
2306965202564744064,1.3832841523481234,-37.36774402806293,230.09703402875448,0.036182754,6359.301,5633.438087895326,-2334.7212726520424,25.126139,7.6824937,8.802319,6.6162696,2.186049,4.345992568835256,14.174715522810317,11.262163286148091,0.2719537053769232,-8.603038966020643
76868614540049408,30.058987047653364,13.044071201123836,223.73208720990553,0.069856286,3202.748,1096.4584858968615,-1771.5261453794967,-28.292406,10.681062,12.571853,9.383672,3.188181,4.4696315690373,14.577971540309294,12.291813334799201,7.113564639390989,3.2902548979868445
3902874650601954816,188.3146767758809,9.021829208339808,223.47747382423316,0.46645853,479.094,-1710.4676540646703,203.09780864044555,NULL,11.240162,13.037464,9.539625,3.497839,4.474723930280812,14.594580582046685,-14.262517169956068,-2.084407589104809,2.2885871941101064
1637645127018395776,264.1040525731971,68.3334976375916,219.78977211974913,0.021020047,10456.198,-320.67472432996726,-1269.893286659221,-28.90487,8.02864,9.385179,6.8670616,2.518117,4.549802251285675,14.839453030703304,-0.5627919950711437,-5.449795466579145,13.79102464623955
5951824121022278144,262.1701639221161,-46.89910489864381,219.64625138839503,0.026228724,8374.264,572.5684618204186,-880.5826187621278,-3.370759,8.336431,9.658231,7.193375,2.4648557,4.552775172255158,14.849149390820532,-1.382232287126477,-10.051611009091058,-10.842130217685561
3757613049856225792,162.05518399901217,-11.342803319735205,219.33021263059618,0.060230438,3641.5178,579.0186682845314,-1530.0764835880495,1.4739288,12.837447,15.940733,11.3598585,4.5808744,4.559335387524727,14.870545926535147,-13.870826835805463,4.492139466985642,-2.92471914095012
5332606522595645952,176.45664661730092,-64.843052846102,215.67527344818546,0.018143972,11886.883,2661.639591834039,-344.9325076225359,NULL,11.423104,11.515765,11.230018,0.28574753,4.636600125791626,15.122549506276933,-6.41629538412047,0.3973107749136647,-13.688126287467124
2079073928612821760,298.48192590176114,44.41290615922913,214.5745030256979,0.04759333,4508.4995,349.36300477619653,-480.32231510686086,3.932475,11.908311,14.3320465,10.509522,3.822524,4.660385954058287,15.200128412318346,5.177827145614729,-9.543549367489277,10.637418637592377
2603090003484152064,343.3241110018443,-14.266689393516607,214.0379888743159,0.035619885,6008.947,957.7147312894218,-673.6012364809744,-2.085692,8.875059,10.453005,7.6437206,2.8092842,4.672067819639273,15.238229517822667,14.147165677313119,-4.237864714791717,-3.7552423085094064
5254061535106490112,161.08527551332452,-61.20263830459439,206.96977507456424,0.04479964,4619.898,-346.2076160477319,1611.0999600775322,155.60522,11.859422,14.155519,10.474081,3.6814375,4.83162335968976,15.758629485029733,-7.181235925908072,2.460748633554892,-13.809741850786112
2441630500517079808,1.6763504259443918,-7.5464753252597605,206.35003920573322,0.04744553,4349.1987,-811.5659562556189,-1893.2508466548065,-40.457607,11.773832,14.072416,10.397489,3.6749277,4.846134286424774,15.805957743231584,15.662350915562662,0.4583772695860505,-2.075802075662003
4752399493622045696,43.77198593477078,-47.01672835622661,205.42508538452748,0.18571998,1106.1012,1012.4447203711677,-554.03083867335,NULL,18.57293,21.753365,16.880054,4.87331,4.8679546518290975,15.87712617421971,7.816560408467304,7.488478964724486,-11.614955950314789
823773494718931968,152.8329289582321,49.451988897100506,205.31478196510724,0.02237224,9177.212,-1363.2871863986295,-505.77035887491877,-26.481712,5.9611735,6.788394,5.066091,1.7223029,4.870569914298463,15.885656009679295,-9.18773809794259,4.715182932748288,12.070898285222746
778947814402602752,166.34205974427476,43.53094856108456,203.8875927696954,0.033240344,6133.739,-4406.469178827325,938.5266266886065,68.41321,7.912665,8.982041,6.8778634,2.104178,4.90466333147386,15.996853735401881,-11.269805018070585,2.73851931816525,11.017773651266754
778947608243864320,166.35208967877313,43.52590762036144,203.83234385738783,0.050037432,4073.5972,-4339.849578444107,960.6961306272715,67.935905,12.257253,14.709731,10.854758,3.8549728,4.905992744211656,16.001189694810968,-11.274281252983563,2.7375169545240956,11.019739325485029
625453654702751872,154.89881370110675,19.869809905451323,201.40642101948626,0.0296157,6800.6636,-498.6203603111094,-43.42766908201863,10.672628,8.204091,9.597194,7.032551,2.564643,4.965085000459092,16.193922634097355,-13.791548165108615,6.460781453859401,5.504056003901694
6562924609150908416,323.3912518776402,-49.01263039681064,201.3251983325545,0.023687575,8499.19,-45.91675295376507,-816.8749628777432,12.723588,7.739947,8.902462,6.6625524,2.2399096,4.967088115558056,16.200455914179532,8.5295782953352,-6.336644739879939,-12.228981943382413
5955305209191546112,264.26088738973226,-44.323382243038424,199.6944012807481,0.031152742,6410.171,-705.9450540795624,-938.0799698989338,-34.901894,9.602153,11.2452345,8.340336,2.9048986,5.007651659668271,16.332756347107644,-1.168446146356828,-11.626010376308663,-11.411816079266796
3195919254111315712,63.830787524383176,-7.672952135407352,199.6910732720413,0.05120331,3899.964,-2236.168749069785,-3338.9552892508973,NULL,9.54224,9.481124,9.672128,-0.1910038,5.007735116119533,16.333028545330823,7.138756449826376,14.527569228910458,-2.1807590678173847
3195919528989223040,63.80795300602079,-7.6680778150199815,199.6080124181338,0.12083028,1651.9701,-2240.0849838923477,-3421.8086201704023,-42.46972,4.179894,4.610995,3.5697494,1.0412455,5.009818934047725,16.339825042532695,7.147600546317004,14.5309335289537,-2.180288886362687
3195919254111314816,63.82965602087436,-7.670903382610344,199.45161859738874,0.069206245,2881.9888,-2247.1829426127065,-3409.8237087898747,-44.062584,9.775309,11.490885,8.501209,2.9896755,5.013747228688032,16.352637411199733,7.147648661107077,14.54493943093597,-2.18279771622276
1934263333784036736,341.7028254522359,44.3319533233193,197.95730094675557,0.021990642,9001.889,-706.2158109750716,-458.9196274161519,-0.23150428,9.005235,10.522137,7.7919774,2.7301593,5.0515944358575045,16.476078348215403,11.189532279737897,-3.6999718526386696,11.513719355052805
660597997697274752,134.5586915113887,19.76257888198771,196.2619260343735,0.19761291,993.16345,-937.1328356544882,-34.559036887716566,15.260383,12.48557,15.062966,11.024552,4.038414,5.095231766067857,16.61840411893628,-10.97336856386136,11.14372410909186,5.619070279181644
