source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
139257717503546368,48.90889431648872,37.40357833391989,29.105878826962183,0.15639496,186.10497,211.8179048519601,-85.29195183993146,24.325481,12.030532,13.404165,10.871662,2.5325031
206744195029652992,76.35615105217188,45.86745458132661,20.608293852187728,0.040420778,509.8441,-97.12649949931293,-205.24562317855504,24.804953,13.301023,13.970351,11.567279,2.4030724
208795888023931904,80.00153532790803,45.774426002015566,20.956667559843677,0.019428791,1078.6399,225.0381857479067,-238.407506242071,,13.591336,14.920144,12.441114,2.4790297
209340936550313856,83.5442687049524,47.53477097450159,30.039343861934253,0.022668622,1325.1509,-47.44897653767378,39.67882974491751,-4.078288,12.6713295,14.064003,11.454554,2.6094494
214277949917598080,83.54935153523617,49.50424630544971,17.775314634950195,0.18175387,97.79882,7.334065196989279,-127.20442597635318,,18.315718,20.798653,16.782475,4.016178
215605163532676864,86.32288280295059,52.64915803686629,24.662717001820774,0.021196522,1163.5266,1.1705114215373653,51.29271203179029,4.523551,8.163457,8.515661,7.640063,0.87559843
230712281504098688,61.045195504626136,42.54668507744298,18.391861842191428,0.04718189,389.80765,184.378638526948,-94.45480512501263,,15.646198,17.434132,14.379344,3.0547876
231711771932403200,58.94238500353137,43.38605925465901,23.32155850113108,0.041068714,567.86676,-132.71675826009263,27.942956662737785,-29.793556,10.49577,10.745625,9.236783,1.5088415
233150379820905344,60.606447181167226,44.079172457232026,19.657021877373037,0.020407919,963.20557,203.6119755160576,-179.19664058849267,-17.30492,12.939835,14.231947,11.81122,2.4207268
240817446194974848,48.12780847059104,43.860468947378685,23.200330495477726,0.023674635,979.9657,173.1548713252583,-23.329676933917753,11.960533,7.430198,7.7150187,6.973613,0.74140596
240851702853970816,48.34504038240322,44.21875368665607,21.683081753838824,0.03321932,652.72504,-45.94855220726666,-216.25481685974844,11.150136,15.24564,17.100988,13.960949,3.1400394
241968050756138624,52.96991170339921,45.58420106929569,19.378756819838852,0.029300515,661.3794,-99.5978877779406,-142.03032198700208,-12.736292,14.583619,16.01818,13.409661,2.6085196
243285849800883456,55.95093365016827,42.60221282004317,21.951855760749094,0.02379275,922.6279,364.51618600970573,-257.99095916773587,31.43681,7.3356857,7.6328588,6.8617277,0.77113104
245876226177106688,60.59381719492903,46.85693208141765,16.90324562478042,0.017373996,972.9049,75.52077548723348,-84.71940005251498,0.033247836,11.799033,12.681934,10.866014,1.8159208
246010611416215424,62.03687084096999,46.679292780818365,18.438239265636355,0.02252021,818.7419,57.63862098942967,-85.32848991538714,2.6487296,14.0981045,15.726005,12.868399,2.857606
250718892003489024,62.0760464692177,51.46459416066574,16.404302208685955,0.023786848,689.63745,60.27681956680946,-140.89872398328092,25.43836,14.564675,16.075682,13.370722,2.7049599
251111520733558528,57.27680131238149,50.171950983983166,16.734877526685725,0.025908059,645.9333,70.79968549286963,7.851726671284069,-44.42768,14.887854,16.3757,13.702678,2.6730223
251726010294299136,58.88247504120481,52.162927788418585,25.233601297409027,0.01775985,1420.8229,-121.19194491589269,108.9008553007517,-33.07373,13.867702,15.234454,12.720076,2.5143785
252861874523362560,69.81242064965053,44.2764836793231,16.975982400520294,0.014495006,1171.1608,109.06657802759709,-183.52373113202168,-56.993866,9.35772,9.777505,8.769478,1.0080271
257701134437955712,69.46917231284962,48.482136746673724,20.228757918017262,0.021635367,934.98566,0.23204028123160292,-48.24382899032712,-6.5225873,14.0223465,15.512347,12.8308,2.6815472
258015629120849024,67.04571598709343,48.09970679532908,17.830505704990824,0.015403484,1157.5631,69.41714764143828,-106.13335398226067,12.909036,8.824374,9.198669,8.279228,0.9194412
263012119193348352,80.74794527452619,52.258255050413375,23.345777485281978,0.05599492,416.9267,8.72583245183295,-135.0304784903292,,13.827829,15.451849,12.578325,2.8735237
264966947787689216,83.22665808796583,54.46577319236288,17.932449053895606,0.023023251,778.88434,80.48247467333239,96.8022016649272,38.90304,14.324726,15.568699,13.224572,2.3441267
266836461152264704,81.99816389718933,55.745248726087645,19.477821896493424,0.01690815,1151.9783,106.78330450291163,-130.1898691996298,-37.339672,13.589451,14.898573,12.45904,2.4395332
267481530881370112,79.06591361599605,54.98018670454485,17.505460644812757,0.04625764,378.4339,-2.610409035608363,-84.4740624508107,,15.872199,17.595106,14.622019,2.9730873
268432917676280704,85.75710030324981,56.581651308829144,16.936726477590206,0.03696961,458.12567,15.51395686031088,28.81461157480401,-31.645317,5.8008265,6.274674,5.162101,1.1125731
271626891582319488,62.99964226651979,50.68771330857467,23.041452590377833,0.23790216,96.85264,-29.979694285990774,42.909935400378814,,18.807426,21.8936,17.269276,4.624325
272551860035067520,69.37927296483169,52.01777670371973,19.166131018913973,0.10099344,189.776,-38.52488364499529,11.813829578712818,5.844625,13.227771,,,
